product_id,product,category
1,Maggi 2 min Masala Noodles,Grocery & Gourmet Foods
2,Trust Classic Sulphur less Refined Sugar,Grocery & Gourmet Foods
3,Cookies  Dark Fantasy Choco Fills,Grocery & Gourmet Foods
4,Crackers & Salt Biscuits  Parle Rusk,Grocery & Gourmet Foods
5,Toor Dal  Tata Sampann Unpolished Toor Dal/Arhar Dal,Grocery & Gourmet Foods
6,Wheat Flours  Aashirvaad Shudh Chakki Atta,Grocery & Gourmet Foods
7,Basmati  Daawat Rozana Super Basmati Rice,Grocery & Gourmet Foods
8,Rice Chips  Haldiram Suji Rusk  ,Grocery & Gourmet Foods
9,Act II Popcorn IPC Classic Salted Combo Pack,Grocery & Gourmet Foods
10,Cloves  Amazon Brand,Grocery & Gourmet Foods
11,Cadbury Bournvita Health Drink,Grocery & Gourmet Foods
12,Multigrain Flour  Aashirvaad Atta with Multigrains,Grocery & Gourmet Foods
13,"Honey  Dabur Honey 100% Pure World's No.1 Honey Brand with No Sugar Adulteration , Squeezy Pack",Grocery & Gourmet Foods
14,Cadbury Oreo Choco Crème Biscuit Family Pack,Grocery & Gourmet Foods
15,Ketchup  Kissan Fresh Tomato Ketchup,Grocery & Gourmet Foods
16,Nature Fresh Sampoorna Chakki Atta,Grocery & Gourmet Foods
17,Nestle MILKMAID Sweetened Condensed Milk,Grocery & Gourmet Foods
18,Cumin Seeds  Amazon Brand,Grocery & Gourmet Foods
19,Mother Dairy Cow Ghee,Grocery & Gourmet Foods
20,MTR Seviyan Vermicelli,Grocery & Gourmet Foods
21,Dettol Original Germ Protection Bathing Soap bar,Beauty
22,Godrej Protekt Masterblaster Germ Protection Liquid Handwash Refill,Beauty
23,Parachute 100 % Pure Coconut Oil,Beauty
24,Savlon Glycerine Soap,Beauty
25,Dettol Liquid Handwash Skincare,Beauty
26,DukesCream 4 Fun Biscuits Combie,Beauty
27,Fiama Gel Bar Blackcurrant and Bearberry for radiant glowing skin,Beauty
28,Fiama Gel Bar,Beauty
29,Rexona Coconut and Olive Oil Soap,Beauty
30,Dove Cream Beauty Bathing Bar With ¼ Moisturizing Cream To Give You Softer,Beauty
31,Dabur Vatika Ayurvedic Shampoo for Hair Fall Control & Damage free Strong and Shiny hair,Beauty
32,L'Oreal Paris Total Repair 5 Shampoo 704ml Combo with Conditioner,Beauty
33,"Dabur Vatika Health Shampoo, with Henna & Amla for Problem Free Hair",Beauty
34,Parachute Advansed Body Lotion Soft Touch,Beauty
35,Dettol Liquid Hand wash Refill Original -1500 ml ,Beauty
36,"Lifebuoy Total 10 Active Silver Formula-Germ Protection Handwash Refill, 1.5 L ",Beauty
37,Cinthol Lime Soap,Beauty
38,Lux Rose & Vitamin E Beauty Soap Bar For Glowing Skin Combo Offer Pack 8x150 g  ,Beauty
39,Pears Moisturising Bathing Bar Soap with Glycerine Pure & Gentle For Golden Glow (125g x 8)  ,Beauty
40,Godrej No.1 Bathing Soap,Beauty
41,"Dettol Liquid Hand wash, Original",Beauty
42,Himalaya Neem and Turmeric Soap,Beauty
43,Godrej No.1 Bathing Soap,Beauty
44,Santoor Sandalwood and Turmeric Bath Soap for Younger Looking and Glowing Skin,Beauty
45,"Dove Hair Fall Rescue Shampoo- For Weak Hair Prone To Hairfall, Deeply Nourishes From Roots Up And Reduces Hair Fall By Up To 98%, 1 Ltr ",Beauty
46,Savlon Moisture Shield Germ Protection Liquid Handwash Refill Pouch,Beauty
47,Parachute Advansed Aloe Vera Enriched Coconut Hair Oil,Beauty
48,Liril Lemon & Tea Tree Oil Soap,Beauty
49,Domex Fresh Guard Ocean Fresh Disinfectant Liquid Toilet Cleaner,Beauty
50,Himalaya Herbals Purifying Neem Face Wash,Beauty
51,Clinic Plus Strong & Long Shampoo,Beauty
52,Lifebuoy Total 10 Active Silver Formula-Germ Protection Handwash Refill 750ml (Pack of 2) ,Beauty
53,Domex Fresh Guard Lime Fresh Disinfectant Liquid Toilet Cleaner,Beauty
54,Skinbeing Blueberry Daily Refreshing Showergel,Beauty
55,Savlon Moisture Shield Handwash,Beauty
56,Lifebuoy Nature Germ Protection Handwash Refill 750 ml (Pack of 2)  ,Beauty
57,Santoor Classic Gentle Hand Wash,Beauty
58,Fiama Gel Bar Peach and Avocado for moisturized skin,Beauty
59,NIVEA Men Body Wash,Beauty
60,Savlon Herbal Sensitive pH balanced Liquid Handwash Refill Pouch,Beauty
61,Rich Creme Hair Colour,Beauty
62,Head & Shoulders,Beauty
63,"Dabur Badam Tail : 100% Pure | Sweet Almond Oil| Rich in Vitamin -E for Healthy Skin , Hair and Body -50ml ",Beauty
64,Santoor PureGlo Glycerine Soap with Almond Oil and Glycerine,Beauty
65,Dabur Almond Hair Oil,Beauty
66,NIVEA Body Lotion for Very Dry Skin,Beauty
67,Vivel Aloe Vera Bathing Bar,Beauty
68,"Whisper Ultra Clean Sanitary Pads for Women, XL+ 50 Napkins",Health & Personal Care
69,Godrej Protekt Masterblaster Germ Protection Liquid Handwash Refill,Health & Personal Care
70,Colgate Total Whole Mouth Health,Health & Personal Care
71,"Oral- B 1.2.3 Toothbrush with Neem Extract, Soft (Buy 2 Get 2 Free) ",Health & Personal Care
72,Candies & Mints  Dabur Hajmola Tablet,Health & Personal Care
73,ENO Regular Digestive Anatacid 100 gm Jar Pack  ,Health & Personal Care
74,"Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot, Save Rs. 20, 2x150 g ",Health & Personal Care
75,Colgate Slim Soft Charcoal Toothbrush,Health & Personal Care
76,Dettol Liquid Handwash Skincare,Health & Personal Care
77,"Colgate Max Fresh, Spicy Fresh Red Gel Toothpaste",Health & Personal Care
